experiment,avg_hue_diff_label_0,avg_hue_diff_label_1
MC_singlenuc23_1_Tk33_021220,6.573437557073456,25.668402998348366
MC_singlenuc23_8_Tk33_031720,7.410322580645161,31.86148007590133
MC_singlenuc24_4_Tk47_030320,23.53554502369668,59.221224489795915
MC_singlenuc28_1_Tk3_022520,17.11527647610122,48.92801196867025
MC_singlenuc34_3_Tk43_030320,6.2730329522528585,20.46690734055355
MC_singlenuc35_11_Tk61_051220,3.3265813346588793,16.91282533709627
MC_singlenuc36_2_Tk3_030320,15.985826771653544,60.2852897473997
MC_singlenuc37_2_Tk17_030320,5.741935483870968,16.729041916167663
MC_singlenuc40_2_Tk3_030920,17.541385135135137,48.606661941885186
MC_singlenuc41_2_Tk9_030920,6.703703703703703,26.5
MC_singlenuc43_11_Tk41_060220,5.142589820359281,9.066414686825054
MC_singlenuc45_7_Tk47_050720,7.918451025056948,41.274531422271224
MC_singlenuc55_2_Tk47_051220,10.923148412925364,17.747410695413233
MC_singlenuc56_2_Tk65_051220,9.811181818181819,22.564281559045956
MC_singlenuc59_4_Tk61_060220,4.613831951181349,8.109518213866039
MC_singlenuc62_3_Tk65_060220,16.261980830670925,63.861717612809315
MC_singlenuc63_1_Tk9_060220,27.77345438824038,64.72222222222223
MC_singlenuc64_1_Tk51_060220,6.099307616221563,31.38470533208606
MC_singlenuc65_4_Tk9_072920,15.040963855421687,47.08561808561809
MC_singlenuc76_3_Tk47_072920,5.292563817980022,16.378052503052505
MC_singlenuc81_1_Tk51_072920,3.283189395460936,10.539328102997384
MC_singlenuc82_b2_Tk63_073020,4.914060807395104,9.02844141069397
MC_singlenuc86_b1_Tk47_073020,6.285688665710187,18.77825331015113
MC_singlenuc90_b1_Tk3_081120,11.457768958674833,28.797757781383684
MC_singlenuc91_b1_Tk9_081120,20.171852899575672,40.05821917808219
MC_singlenuc94_b1_Tk31_081120,2.0,26.0
MC_singlenuc96_b1_Tk41_081120,2.0319958491871324,6.525219298245614
